地区,区域划分,地带划分,食品烟酒,衣着,居住,生活用品及服务,交通通信,教育文化娱乐,医疗保健,其他用品及服务
北京,华北,东部地带,8751.4,1924,17163.1,2306.7,3925.2,3020.7,3755,880
天津,华北,东部地带,9122.2,1860.4,7770,1804.1,4045.7,2530.6,2811,950.7
河北,华北,东部地带,6234.6,1667.4,5996,1540.6,2798.3,2412.2,1988.8,529.6
山西,华北,中部地带,5304.4,1671,4452.3,1149.4,2687.2,2150.2,2421.2,496.3
内蒙古,华北,西部地带,6690.6,2123.5,5149.3,1472.9,3724.4,2099.5,2039.8,587.7
辽宁,东北,东部地带,7334,1717.8,5503.6,1372.7,3016.5,2371.4,2595.2,937.9
吉林,东北,中部地带,6040.8,1749.7,4597.2,1236.5,2770.2,2187.7,2396.4,644.7
黑龙江,东北,中部地带,6029.5,1615,4449.4,1142.1,2436.1,1891.1,2350.7,483.6
上海,华东,东部地带,11515.1,1763.5,16465.1,2177.5,4677.1,3962.6,3188.7,1089.9
江苏,华东,东部地带,8291.7,1768,9388.4,1809,3994.6,2728.2,2173.7,728.6
浙江,华东,东部地带,9913.7,2035.5,10664.7,2073.1,4987.6,3449.7,2162.1,910.5
安徽,华东,中部地带,7400.8,1548.9,5348.9,1358.6,2674.1,2283.1,1637.6,430.6
福建,华东,东部地带,9673,1443.5,9355.8,1519.3,3755.2,2300.9,1773.8,665
江西,华东,中部地带,6949.1,1354.5,5315.6,1233.9,2856.8,2262.3,1724.3,437.9
山东,华东,东部地带,7318.6,2012.5,5972.9,2148.7,3688.4,3204.5,2298.1,647.4
河南,中南,中部地带,5584.3,1620,4992.8,1413.8,2391.8,2141.9,1899.3,600.9
湖北,中南,中部地带,7112.4,1472.3,5774.3,1316,2852.5,2040.8,1922.3,394.8
湖南,中南,中部地带,7807.1,1778.4,5465.5,1708.7,3722.5,3360.8,2350.5,602.8
广东,中南,东部地带,10794.7,1282.1,9457.9,1895.3,4626.3,2958.7,1748.6,747.7
广西,中南,西部地带,7091.9,874.1,4645.1,1232.9,2601.8,2181.1,1903.4,367.2
海南,中南,东部地带,8896.1,896.8,5463.9,1140,2677.5,2383.2,1668.3,434.1
重庆,西南,西部地带,8618.8,1918,4970.8,1897.3,3290.8,2648.3,2445.3,675.1
四川,西南,西部地带,8741.1,1674.5,4951.4,1599.6,3052.2,2253,2193.4,668.1
贵州,西南,西部地带,6568.4,1436,3929.1,1319.7,3168.4,2001.3,1706.6,457.5
云南,西南,西部地带,6851.9,1434.4,5310.2,1486.7,4092.4,2531.1,2317.7,544.9
西藏,西南,西部地带,8637.7,2303.1,5855.3,1827.7,3621.1,1015.1,1098.9,568.4
陕西,西北,西部地带,6295.8,1649.8,4887.6,1622.3,2855.2,2387.2,2608.4,560.2
甘肃,西北,西部地带,7068.2,1859.4,5786.6,1662,3081.4,2426.7,2090.5,639.8
青海,西北,西部地带,6754.1,1770.5,5053.7,1509.6,4076.4,2043.1,2524.6,583.1
宁夏,西北,西部地带,6068.3,1776.3,4319.2,1383.5,3680.3,2250.3,2267.3,634
新疆,西北,西部地带,7194.3,1616.8,4483.1,1500.8,3413.5,1778.2,2349.1,615.9
