h1,h2,h3,color,weight,codes
中国,东部地带,北京,#77bc45,4.553471578,北京
中国,东部地带,天津,#77bc45,5.215841876,天津
中国,东部地带,河北,#77bc45,2.360188053,河北
中国,中部地带,山西,#4aaaea,2.005508392,山西
中国,西部地带,内蒙古,#f58321,3.139819789,内蒙古
中国,东部地带,辽宁,#77bc45,3.381158789,辽宁
中国,中部地带,吉林,#4aaaea,2.49970745,吉林
中国,中部地带,黑龙江,#4aaaea,2.538854916,黑龙江
中国,东部地带,上海,#77bc45,6.035525873,上海
中国,东部地带,江苏,#77bc45,3.935737836,江苏
中国,东部地带,浙江,#77bc45,4.675256992,浙江
中国,中部地带,安徽,#4aaaea,3.102481913,安徽
中国,东部地带,福建,#77bc45,4.350676847,福建
中国,中部地带,江西,#4aaaea,2.79044826,江西
中国,东部地带,山东,#77bc45,2.844132766,山东
中国,中部地带,河南,#4aaaea,2.223986237,河南
中国,中部地带,湖北,#4aaaea,3.075338062,湖北
中国,中部地带,湖南,#4aaaea,3.018155014,湖南
中国,东部地带,广东,#77bc45,5.016786964,广东
中国,西部地带,广西,#f58321,2.660037133,广西
中国,东部地带,海南,#77bc45,3.580515299,海南
中国,西部地带,重庆,#f58321,3.585099594,重庆
中国,西部地带,四川,#f58321,3.397324461,四川
中国,西部地带,贵州,#f58321,2.385039757,贵州
中国,西部地带,云南,#f58321,2.315310218,云南
中国,西部地带,西藏,#f58321,2.888467724,西藏
中国,西部地带,陕西,#f58321,2.487583196,陕西
中国,西部地带,甘肃,#f58321,2.344565258,甘肃
中国,西部地带,青海,#f58321,2.686034911,青海
中国,西部地带,宁夏,#f58321,2.289975957,宁夏
中国,西部地带,新疆,#f58321,2.616968888,新疆
