性别,专业,在读学位,网购金额
女,会计学,学士,382
女,金融学,硕士,171
男,会计学,博士,579
男,管理学,学士,211
女,会计学,学士,654
男,金融学,学士,290
女,管理学,硕士,108
女,会计学,硕士,724
男,金融学,学士,569
女,会计学,博士,424
男,金融学,博士,317
女,金融学,学士,294
女,管理学,博士,375
女,会计学,硕士,264
女,会计学,硕士,573
男,金融学,学士,521
女,会计学,学士,469
女,管理学,学士,422
男,管理学,博士,573
女,金融学,学士,570
男,管理学,学士,556
女,金融学,硕士,520
男,管理学,博士,518
女,金融学,硕士,780
女,金融学,硕士,552
女,管理学,硕士,495
男,金融学,博士,304
女,会计学,学士,700
男,金融学,硕士,316
女,会计学,博士,281
女,会计学,硕士,730
男,金融学,学士,204
女,会计学,硕士,454
女,会计学,博士,546
女,会计学,学士,511
男,会计学,博士,158
男,管理学,学士,675
男,管理学,学士,481
男,管理学,博士,362
男,会计学,学士,112
女,金融学,硕士,708
男,管理学,学士,494
女,管理学,博士,209
男,金融学,学士,128
男,金融学,硕士,638
男,管理学,学士,705
男,管理学,博士,696
男,会计学,硕士,266
男,管理学,博士,579
男,管理学,博士,446
女,金融学,博士,729
男,会计学,学士,608
男,会计学,学士,224
女,金融学,博士,286
男,会计学,学士,434
男,金融学,博士,565
男,会计学,博士,534
男,会计学,硕士,559
女,金融学,硕士,586
女,会计学,学士,383
男,金融学,硕士,410
男,金融学,硕士,542
男,管理学,硕士,404
女,会计学,博士,318
女,会计学,硕士,397
男,金融学,学士,490
女,会计学,硕士,434
男,管理学,硕士,419
男,管理学,学士,408
女,金融学,硕士,582
男,管理学,硕士,111
女,金融学,博士,648
男,管理学,学士,762
女,金融学,博士,309
女,金融学,博士,128
女,管理学,博士,371
女,金融学,博士,338
女,金融学,博士,287
男,金融学,博士,285
女,会计学,硕士,487
女,会计学,学士,491
男,金融学,硕士,519
女,会计学,学士,442
女,会计学,学士,825
女,会计学,学士,802
男,会计学,硕士,449
女,管理学,硕士,516
女,管理学,学士,752
男,管理学,学士,347
女,会计学,硕士,599
女,会计学,博士,274
女,管理学,硕士,637
女,管理学,学士,501
男,金融学,硕士,126
男,金融学,硕士,649
男,管理学,学士,217
女,管理学,博士,645
女,会计学,学士,525
女,会计学,硕士,233
男,会计学,硕士,776
男,会计学,博士,244
男,金融学,硕士,652
女,会计学,博士,484
男,金融学,博士,586
女,金融学,硕士,431
女,管理学,硕士,451
女,会计学,博士,308
女,会计学,硕士,356
男,金融学,硕士,527
女,会计学,硕士,401
女,管理学,硕士,285
男,管理学,学士,355
女,金融学,学士,477
女,管理学,博士,449
女,金融学,硕士,885
男,管理学,博士,396
女,金融学,博士,398
女,金融学,学士,360
女,管理学,硕士,575
男,金融学,硕士,717
