性别,专业,R语言,Python语言
男,金融,93,76
女,管理,90,73
男,金融,72,63
女,会计,81,67
女,管理,79,64
男,管理,72,63
女,管理,86,71
女,金融,74,61
女,管理,79,66
男,管理,83,73
女,管理,72,61
男,金融,89,75
女,金融,81,66
女,管理,72,56
男,会计,82,70
女,金融,88,77
男,管理,80,67
女,会计,73,57
男,会计,81,67
女,金融,92,74
女,管理,86,71
女,金融,79,65
男,管理,84,72
女,管理,84,71
男,金融,98,82
女,会计,76,60
女,会计,80,72
女,金融,81,70
女,会计,79,69
男,管理,88,75
男,金融,95,80
女,金融,88,77
男,管理,74,64
女,会计,81,73
女,金融,82,72
男,管理,79,69
女,管理,85,75
女,会计,69,58
女,会计,72,65
男,会计,73,65
女,管理,75,70
男,管理,88,73
女,金融,81,71
女,管理,76,67
男,管理,89,78
女,管理,84,73
男,会计,76,65
男,金融,83,71
男,金融,86,75
女,管理,83,71
