地区,区域划分,地带划分,季度,地区生产总值
北京,华北,东部地带,1季度,8875.82
北京,华北,东部地带,2季度,19147
北京,华北,东部地带,3季度,29638.67
北京,华北,东部地带,4季度,40269.55
天津,华北,东部地带,1季度,3388.75
天津,华北,东部地带,2季度,7278.45
天津,华北,东部地带,3季度,11373.68
天津,华北,东部地带,4季度,15695.05
河北,华北,东部地带,1季度,8711.17
河北,华北,东部地带,2季度,18660.36
河北,华北,东部地带,3季度,28949.08
河北,华北,东部地带,4季度,40391.27
山西,华北,中部地带,1季度,4464.06
山西,华北,中部地带,2季度,9606.7
山西,华北,中部地带,3季度,15584.85
山西,华北,中部地带,4季度,22590.16
内蒙古,华北,西部地带,1季度,4203.62
内蒙古,华北,西部地带,2季度,9065.27
内蒙古,华北,西部地带,3季度,14435.84
内蒙古,华北,西部地带,4季度,20514.19
辽宁,东北,东部地带,1季度,5818.66
辽宁,东北,东部地带,2季度,12587.95
辽宁,东北,东部地带,3季度,19646.87
辽宁,东北,东部地带,4季度,27584.08
吉林,东北,中部地带,1季度,2759.01
吉林,东北,中部地带,2季度,6057.82
吉林,东北,中部地带,3季度,9499.97
吉林,东北,中部地带,4季度,13235.52
黑龙江,东北,中部地带,1季度,2680.37
黑龙江,东北,中部地带,2季度,5965.25
黑龙江,东北,中部地带,3季度,9710.18
黑龙江,东北,中部地带,4季度,14879.19
上海,华东,东部地带,1季度,9416.36
上海,华东,东部地带,2季度,20017.81
上海,华东,东部地带,3季度,30748.13
上海,华东,东部地带,4季度,43214.85
江苏,华东,东部地带,1季度,25762.11
江苏,华东,东部地带,2季度,54967
江苏,华东,东部地带,3季度,84569.5
江苏,华东,东部地带,4季度,116364.2
浙江,华东,东部地带,1季度,16273.31
浙江,华东,东部地带,2季度,34410.81
浙江,华东,东部地带,3季度,52649.55
浙江,华东,东部地带,4季度,73515.76
安徽,华东,中部地带,1季度,9486.32
安徽,华东,中部地带,2季度,20489.81
安徽,华东,中部地带,3季度,31752.36
安徽,华东,中部地带,4季度,42959.18
福建,华东,东部地带,1季度,10702.3
福建,华东,东部地带,2季度,22817.29
福建,华东,东部地带,3季度,35061.37
福建,华东,东部地带,4季度,48810.36
江西,华东,中部地带,1季度,6545.24
江西,华东,中部地带,2季度,13918.32
江西,华东,中部地带,3季度,21517.96
江西,华东,中部地带,4季度,29619.67
山东,华东,东部地带,1季度,17974.39
山东,华东,东部地带,2季度,38742.39
山东,华东,东部地带,3季度,60206.96
山东,华东,东部地带,4季度,83095.9
河南,中南,中部地带,1季度,13246.86
河南,中南,中部地带,2季度,28806.05
河南,中南,中部地带,3季度,43847.12
河南,中南,中部地带,4季度,58887.41
湖北,中南,中部地带,1季度,9828.31
湖北,中南,中部地带,2季度,22681.7
湖北,中南,中部地带,3季度,34598.11
湖北,中南,中部地带,4季度,50012.94
湖南,中南,中部地带,1季度,10178.06
湖南,中南,中部地带,2季度,21575.19
湖南,中南,中部地带,3季度,33094.92
湖南,中南,中部地带,4季度,46063.09
广东,中南,东部地带,1季度,27146.12
广东,中南,东部地带,2季度,57245.14
广东,中南,东部地带,3季度,88171.7
广东,中南,东部地带,4季度,124369.67
广西,中南,西部地带,1季度,5522.76
广西,中南,西部地带,2季度,11757.53
广西,中南,西部地带,3季度,17971.04
广西,中南,西部地带,4季度,24740.86
海南,中南,东部地带,1季度,1408.45
海南,中南,东部地带,2季度,2906.92
海南,中南,东部地带,3季度,4542.28
海南,中南,东部地带,4季度,6475.2
重庆,西南,西部地带,1季度,5968.31
重庆,西南,西部地带,2季度,12849.03
重庆,西南,西部地带,3季度,19875.23
重庆,西南,西部地带,4季度,27894.02
四川,西南,西部地带,1季度,11805.96
四川,西南,西部地带,2季度,25126.05
四川,西南,西部地带,3季度,38848.84
四川,西南,西部地带,4季度,53850.79
贵州,西南,西部地带,1季度,4316.98
贵州,西南,西部地带,2季度,9037.23
贵州,西南,西部地带,3季度,13931.79
贵州,西南,西部地带,4季度,19586.42
云南,西南,西部地带,1季度,5931.87
云南,西南,西部地带,2季度,12686.99
云南,西南,西部地带,3季度,19532.42
云南,西南,西部地带,4季度,27146.76
西藏,西南,西部地带,1季度,473.58
西藏,西南,西部地带,2季度,922.15
西藏,西南,西部地带,3季度,1434.82
西藏,西南,西部地带,4季度,2080.17
陕西,西北,西部地带,1季度,6324.25
陕西,西北,西部地带,2季度,13485.53
陕西,西北,西部地带,3季度,21111.75
陕西,西北,西部地带,4季度,29800.98
甘肃,西北,西部地带,1季度,2197.15
甘肃,西北,西部地带,2季度,4728.22
甘肃,西北,西部地带,3季度,7372.54
甘肃,西北,西部地带,4季度,10243.31
青海,西北,西部地带,1季度,740.54
青海,西北,西部地带,2季度,1550.85
青海,西北,西部地带,3季度,2392.61
青海,西北,西部地带,4季度,3346.63
宁夏,西北,西部地带,1季度,967.26
宁夏,西北,西部地带,2季度,2047.66
宁夏,西北,西部地带,3季度,3210.91
宁夏,西北,西部地带,4季度,4522.31
新疆,西北,西部地带,1季度,3387.25
新疆,西北,西部地带,2季度,7298.02
新疆,西北,西部地带,3季度,11352.35
新疆,西北,西部地带,4季度,15983.65
