地区,区域划分,地带划分,总人口,比重
北京,华北,东部地带,21893095,1.552945482
天津,华北,东部地带,13866009,0.983559247
河北,华北,东部地带,74610235,5.292336572
山西,华北,中部地带,34915616,2.476673495
内蒙古,华北,西部地带,24049155,1.705881539
辽宁,东北,东部地带,42591407,3.021141281
吉林,东北,中部地带,24073453,1.707605072
黑龙江,东北,中部地带,31850088,2.259226037
上海,华东,东部地带,24870895,1.76417012
江苏,华东,东部地带,84748016,6.011440984
浙江,华东,东部地带,64567588,4.579980312
安徽,华东,中部地带,61027171,4.328847496
福建,华东,东部地带,41540086,2.946567805
江西,华东,中部地带,45188635,3.20537076
山东,华东,东部地带,101527453,7.201658762
河南,中南,中部地带,99365519,7.048306043
湖北,中南,中部地带,57752557,4.096568917
湖南,中南,中部地带,66444864,4.713141351
广东,中南,东部地带,126012510,8.938460189
广西,中南,西部地带,50126804,3.555650482
海南,中南,东部地带,10081232,0.715093215
重庆,西南,西部地带,32054159,2.273701429
四川,西南,西部地带,83674866,5.935319109
贵州,西南,西部地带,38562148,2.735333378
云南,西南,西部地带,47209277,3.348701197
西藏,西南,西部地带,3648100,0.258771106
陕西,西北,西部地带,39528999,2.803915134
甘肃,西北,西部地带,25019831,1.774734614
青海,西北,西部地带,5923957,0.420204738
宁夏,西北,西部地带,7202654,0.510906703
新疆,西北,西部地带,25852345,1.833787428
