日期,AQI,质量等级,PM2.5,PM10,二氧化硫,一氧化碳,二氧化氮,臭氧浓度
2020/1/1,226,重度污染,176,199,33,3.4,106,12
2020/1/2,316,严重污染,266,299,35,4.6,124,16
2020/1/3,297,重度污染,247,296,20,3.5,83,22
2020/1/4,53,良,37,23,6,0.9,33,59
2020/1/5,63,良,34,76,11,0.9,38,50
2020/1/6,44,优,25,40,10,0.9,35,54
2020/1/7,35,优,13,22,6,0.6,28,54
2020/1/8,54,良,35,55,13,0.9,43,51
2020/1/9,102,轻度污染,76,102,23,1.9,74,26
2020/1/10,69,良,46,61,20,1.5,55,35
2020/1/11,32,优,11,22,6,0.6,25,59
2020/1/12,38,优,14,27,8,0.7,30,55
2020/1/13,62,良,26,48,14,1,49,47
2020/1/14,98,良,73,98,27,1.9,73,40
2020/1/15,132,轻度污染,100,127,33,2.6,84,25
2020/1/16,162,中度污染,123,137,44,2.5,71,15
2020/1/17,53,良,37,25,9,0.8,29,68
2020/1/18,45,优,10,45,4,0.5,18,62
2020/1/19,84,良,62,90,23,1.7,62,39
2020/1/20,153,中度污染,117,141,56,3.4,78,11
2020/1/21,173,中度污染,131,130,28,2.7,68,12
2020/1/22,33,优,13,33,4,0.6,16,65
2020/1/23,47,优,9,47,4,0.6,12,63
2020/1/24,47,优,13,47,6,0.6,24,60
2020/1/25,54,良,28,48,17,0.8,43,50
2020/1/26,56,良,35,62,18,0.8,37,58
2020/1/27,129,轻度污染,98,112,38,2.2,79,27
2020/1/28,159,中度污染,121,139,44,2.3,80,37
2020/1/29,84,良,62,80,36,1.8,55,28
2020/1/30,69,良,50,65,21,1.3,48,40
2020/1/31,38,优,18,26,10,0.6,30,66
2020/2/1,40,优,13,24,9,0.6,32,68
2020/2/2,62,良,29,40,16,0.9,49,55
2020/2/3,69,良,35,48,19,1.2,55,43
2020/2/4,36,优,13,24,8,0.5,23,71
2020/2/5,38,优,10,32,6,0.4,16,76
2020/2/6,45,优,31,45,14,0.8,36,70
2020/2/7,69,良,50,85,23,0.9,38,74
2020/2/8,238,重度污染,188,263,53,1,37,74
2020/2/9,60,良,43,53,20,1.1,41,82
2020/2/10,128,轻度污染,97,115,50,2.5,65,50
2020/2/11,202,重度污染,152,168,42,3,68,26
2020/2/12,192,中度污染,144,100,18,2.2,54,41
2020/2/13,34,优,9,14,5,0.3,12,68
2020/2/14,36,优,7,16,3,0.4,11,72
2020/2/15,46,优,7,46,4,0.3,14,71
2020/2/16,38,优,8,36,5,0.3,18,76
2020/2/17,64,良,46,44,16,1.1,48,73
2020/2/18,42,优,14,32,5,0.4,22,83
2020/2/19,40,优,15,33,5,0.5,26,79
2020/2/20,40,优,16,24,6,0.5,22,79
