地区,区域划分,地带划分,GDP,GDP百分百
北京,华北,东部地带,40269.6,3.5394266
天津,华北,东部地带,15695.1,1.3794936
河北,华北,东部地带,40391.3,3.5501232
山西,华北,中部地带,22590.2,1.9855264
内蒙古,华北,西部地带,20514.2,1.80306
辽宁,东北,东部地带,27584.1,2.4244566
吉林,东北,中部地带,13235.5,1.1633113
黑龙江,东北,中部地带,14879.2,1.3077815
上海,华东,东部地带,43214.9,3.7982987
江苏,华东,东部地带,116364.2,10.2276295
浙江,华东,东部地带,73515.8,6.4615437
安徽,华东,中部地带,42959.2,3.7758244
福建,华东,东部地带,48810.4,4.2901054
江西,华东,中部地带,29619.7,2.6033721
山东,华东,东部地带,83095.9,7.30357
河南,中南,中部地带,58887.4,5.1758059
湖北,中南,中部地带,50012.9,4.3957971
湖南,中南,中部地带,46063.1,4.0486363
广东,中南,东部地带,124369.7,10.931259
广西,中南,西部地带,24740.9,2.1745585
海南,中南,东部地带,6475.2,0.5691265
重庆,西南,西部地带,27894,2.4516947
四川,西南,西部地带,53850.8,4.7331226
贵州,西南,西部地带,19586.4,1.7215127
云南,西南,西部地带,27146.8,2.3860209
西藏,西南,西部地带,2080.2,0.1828356
陕西,西北,西部地带,29801,2.6193072
甘肃,西北,西部地带,10243.3,0.9003171
青海,西北,西部地带,3346.6,0.2941436
宁夏,西北,西部地带,4522.3,0.3974797
新疆,西北,西部地带,15983.7,1.4048596
