h1,h2,h3,color,weight,codes
中国,华北,北京,#f58321,3.5394266,北京
中国,华北,天津,#f58321,1.3794936,天津
中国,华北,河北,#f58321,3.5501232,河北
中国,华北,山西,#f58321,1.9855264,山西
中国,华北,内蒙古,#f58321,1.80306,内蒙古
中国,东北,辽宁,#ef1621,2.4244566,辽宁
中国,东北,吉林,#ef1621,1.1633113,吉林
中国,东北,黑龙江,#ef1621,1.3077815,黑龙江
中国,华东,上海,#77bc45,3.7982987,上海
中国,华东,江苏,#77bc45,10.2276295,江苏
中国,华东,浙江,#77bc45,6.4615437,浙江
中国,华东,安徽,#77bc45,3.7758244,安徽
中国,华东,福建,#77bc45,4.2901054,福建
中国,华东,江西,#77bc45,2.6033721,江西
中国,华东,山东,#77bc45,7.30357,山东
中国,中南,河南,#4aaaea,5.1758059,河南
中国,中南,湖北,#4aaaea,4.3957971,湖北
中国,中南,湖南,#4aaaea,4.0486363,湖南
中国,中南,广东,#4aaaea,10.931259,广东
中国,中南,广西,#4aaaea,2.1745585,广西
中国,中南,海南,#4aaaea,0.5691265,海南
中国,西南,重庆,#00acad,2.4516947,重庆
中国,西南,四川,#00acad,4.7331226,四川
中国,西南,贵州,#00acad,1.7215127,贵州
中国,西南,云南,#00acad,2.3860209,云南
中国,西南,西藏,#00acad,0.1828356,西藏
中国,西北,陕西,#f575a3,2.6193072,陕西
中国,西北,甘肃,#f575a3,0.9003171,甘肃
中国,西北,青海,#f575a3,0.2941436,青海
中国,西北,宁夏,#f575a3,0.3974797,宁夏
中国,西北,新疆,#f575a3,1.4048596,新疆
