"排名","国家/地区","所在洲","年份","GDP(美元)","占世界比重"
"","全世界","","2023","105.44万亿 (105,435,039,507,024)","&nbsp;"
"1","美国","美洲","2023","27.36万亿 (27,360,935,000,000)","25.9505%"
"","欧盟地区","","2023","18.35万亿 (18,349,388,450,765)","17.4035%"
"2","中国","亚洲","2023","17.79万亿 (17,794,781,986,104)","16.8775%"
"3","德国","欧洲","2023","4.46万亿 (4,456,081,016,705)","4.2264%"
"4","日本","亚洲","2023","4.21万亿 (4,212,945,159,781)","3.9958%"
"5","印度","亚洲","2023","3.55万亿 (3,549,918,918,777)","3.3669%"
"6","英国","欧洲","2023","3.34万亿 (3,340,032,380,668)","3.1679%"
"7","法国","欧洲","2023","3.03万亿 (3,030,904,089,607)","2.8747%"
"8","意大利","欧洲","2023","2.25万亿 (2,254,851,212,731)","2.1386%"
"9","巴西","美洲","2023","2.17万亿 (2,173,665,655,937)","2.0616%"
"10","加拿大","美洲","2023","2.14万亿 (2,140,085,567,791)","2.0298%"
"11","俄罗斯","欧洲","2023","2.02万亿 (2,021,421,476,035)","1.9172%"
"12","墨西哥","美洲","2023","1.79万亿 (1,788,886,821,046)","1.6967%"
"13","澳大利亚","大洋洲","2023","1.72万亿 (1,723,827,215,334)","1.6350%"
"14","韩国","亚洲","2023","1.71万亿 (1,712,792,854,202)","1.6245%"
"15","西班牙","欧洲","2023","1.58万亿 (1,580,694,712,515)","1.4992%"
"16","印尼","亚洲","2023","1.37万亿 (1,371,171,152,331)","1.3005%"
"17","荷兰","欧洲","2023","1.12万亿 (1,118,124,749,886)","1.0605%"
"18","土耳其","欧洲","2023","1.11万亿 (1,108,022,373,259)","1.0509%"
"19","沙特阿拉伯","亚洲","2023","1.07万亿 (1,067,582,933,333)","1.0126%"
"20","瑞士","欧洲","2023","8849.40亿 (884,940,402,230)","0.8393%"
"21","波兰","欧洲","2023","8112.29亿 (811,229,100,687)","0.7694%"
"22","阿根廷","美洲","2023","6405.91亿 (640,591,410,663)","0.6076%"
"23","古巴","美洲","2022","6334.42亿 (633,442,300,000)","&nbsp;"
"24","比利时","欧洲","2023","6322.17亿 (632,216,577,075)","0.5996%"
"25","瑞典","欧洲","2023","5932.68亿 (593,267,701,033)","0.5627%"
"26","爱尔兰","欧洲","2023","5456.29亿 (545,629,450,403)","0.5175%"
"27","奥地利","欧洲","2023","5160.34亿 (516,034,144,115)","0.4894%"
"28","泰国","亚洲","2023","5149.45亿 (514,944,993,833)","0.4884%"
"29","以色列","亚洲","2023","5099.01亿 (509,901,495,702)","0.4836%"
"30","阿联酋","亚洲","2023","5041.73亿 (504,173,451,327)","0.4782%"
"31","新加坡","亚洲","2023","5014.28亿 (501,427,500,080)","0.4756%"
"32","挪威","欧洲","2023","4855.13亿 (485,513,316,503)","0.4605%"
"33","孟加拉","亚洲","2023","4374.15亿 (437,415,331,040)","0.4149%"
"34","菲律宾","亚洲","2023","4371.46亿 (437,146,372,729)","0.4146%"
"35","越南","亚洲","2023","4297.17亿 (429,716,969,049)","0.4076%"
"36","丹麦","欧洲","2023","4041.99亿 (404,198,757,537)","0.3834%"
"37","伊朗","亚洲","2023","4015.05亿 (401,504,514,718)","0.3808%"
"38","马来西亚","亚洲","2023","3996.49亿 (399,648,828,546)","0.3790%"
"39","埃及","非洲","2023","3959.26亿 (395,926,075,163)","0.3755%"
"
                                        
                                                
                                                
                                                
                                                (adsbygoogle = window.adsbygoogle || []).push({});
                                                
                                        
                                    "
"40","香港","亚洲","2023","3820.55亿 (382,054,574,298)","0.3624%"
"41","南非","非洲","2023","3777.82亿 (377,781,600,985)","0.3583%"
"42","哥伦比亚","美洲","2023","3635.40亿 (363,540,156,234)","0.3448%"
"43","尼日利亚","非洲","2023","3628.15亿 (362,814,951,696)","0.3441%"
"44","罗马尼亚","欧洲","2023","3510.03亿 (351,002,579,629)","0.3329%"
"45","巴基斯坦","亚洲","2023","3383.68亿 (338,368,455,317)","0.3209%"
"46","智利","美洲","2023","3355.33亿 (335,533,331,669)","0.3182%"
"47","捷克","欧洲","2023","3308.58亿 (330,858,339,871)","0.3138%"
"48","芬兰","欧洲","2023","3001.87亿 (300,187,202,696)","0.2847%"
"49","葡萄牙","欧洲","2023","2870.80亿 (287,080,013,574)","0.2723%"
"50","秘鲁","美洲","2023","2676.03亿 (267,603,248,655)","0.2538%"
"51","哈萨克斯坦","亚洲","2023","2614.21亿 (261,421,121,085)","0.2479%"
"52","新西兰","大洋洲","2023","2534.66亿 (253,465,703,232)","0.2404%"
"53","伊拉克","亚洲","2023","2508.43亿 (250,842,782,139)","0.2379%"
"54","阿尔及利亚","非洲","2023","2398.99亿 (239,899,491,127)","0.2275%"
"55","希腊","欧洲","2023","2382.06亿 (238,206,312,632)","0.2259%"
"56","卡塔尔","亚洲","2022","2357.70亿 (235,770,403,734)","&nbsp;"
"57","匈牙利","欧洲","2023","2123.89亿 (212,388,906,458)","0.2014%"
"58","乌克兰","欧洲","2023","1787.57亿 (178,757,021,386)","0.1695%"
"59","埃塞俄比亚","非洲","2023","1636.98亿 (163,697,927,593)","0.1553%"
"60","科威特","亚洲","2023","1617.72亿 (161,772,221,950)","0.1534%"
"61","摩洛哥","非洲","2023","1411.09亿 (141,109,373,209)","0.1338%"
"62","斯洛伐克","欧洲","2023","1327.94亿 (132,793,622,283)","0.1259%"
"63","多米尼加","美洲","2023","1214.44亿 (121,444,279,313)","0.1152%"
"64","厄瓜多尔","美洲","2023","1188.45亿 (118,844,826,000)","0.1127%"
"65","波多黎各","美洲","2023","1179.02亿 (117,902,300,000)","0.1118%"
"66","苏丹","非洲","2023","1093.27亿 (109,327,023,588)","0.1037%"
"67","阿曼","亚洲","2023","1081.92亿 (108,192,457,737)","0.1026%"
"68","肯尼亚","非洲","2023","1074.41亿 (107,440,575,838)","0.1019%"
"69","危地马拉","美洲","2023","1020.50亿 (102,050,473,863)","0.0968%"
"70","保加利亚","欧洲","2023","1015.84亿 (101,584,384,672)","0.0963%"
"71","乌兹别克斯坦","亚洲","2023","908.89亿 (90,889,149,306)","0.0862%"
"72","哥斯达黎加","美洲","2023","864.98亿 (86,497,941,439)","0.0820%"
"73","卢森堡","欧洲","2023","857.55亿 (85,755,006,123)","0.0813%"
"74","安哥拉","非洲","2023","847.23亿 (84,722,957,642)","0.0804%"
"75","斯里兰卡","亚洲","2023","843.57亿 (84,356,860,421)","0.0800%"
"76","巴拿马","美洲","2023","833.82亿 (83,382,400,000)","0.0791%"
"77","克罗地亚","欧洲","2023","826.89亿 (82,688,842,717)","0.0784%"
"78","坦桑尼亚","非洲","2023","791.58亿 (79,158,286,333)","0.0751%"
"79","科特迪瓦","非洲","2023","787.89亿 (78,788,828,906)","0.0747%"
"
                                        
                                                
                                                
                                                
                                                (adsbygoogle = window.adsbygoogle || []).push({});
                                                
                                        
                                    "
"80","立陶宛","欧洲","2023","778.36亿 (77,836,396,962)","0.0738%"
"81","乌拉圭","美洲","2023","772.41亿 (77,240,831,587)","0.0733%"
"82","加纳","非洲","2023","763.70亿 (76,370,394,412)","0.0724%"
"83","塞尔维亚","欧洲","2023","751.87亿 (75,187,125,426)","0.0713%"
"84","阿塞拜疆","亚洲","2023","723.56亿 (72,356,176,470)","0.0686%"
"85","白俄罗斯","欧洲","2023","718.57亿 (71,857,382,745)","0.0682%"
"86","斯洛文尼亚","欧洲","2023","682.17亿 (68,216,781,410)","0.0647%"
"87","刚果（金）","非洲","2023","663.83亿 (66,383,287,002)","0.0630%"
"88","缅甸","亚洲","2023","648.15亿 (64,815,031,669)","0.0615%"
"89","土库曼斯坦","亚洲","2023","598.87亿 (59,887,334,844)","0.0568%"
"90","约旦","亚洲","2023","508.14亿 (50,813,642,348)","0.0482%"
"91","利比亚","非洲","2023","504.92亿 (50,491,722,445)","0.0479%"
"92","乌干达","非洲","2023","492.73亿 (49,272,882,213)","0.0467%"
"93","突尼斯","非洲","2023","485.30亿 (48,529,595,416)","0.0460%"
"94","喀麦隆","非洲","2023","479.46亿 (47,945,510,090)","0.0455%"
"95","澳门","亚洲","2023","470.62亿 (47,061,843,715)","0.0446%"
"96","玻利维亚","美洲","2023","458.50亿 (45,849,832,906)","0.0435%"
"97","拉脱维亚","欧洲","2023","436.27亿 (43,627,078,481)","0.0414%"
"98","巴林","亚洲","2023","432.05亿 (43,205,000,000)","0.0410%"
"99","巴拉圭","美洲","2023","429.56亿 (42,956,263,543)","0.0407%"
"100","尼泊尔","亚洲","2023","409.08亿 (40,908,073,366)","0.0388%"
"101","爱沙尼亚","欧洲","2023","407.45亿 (40,744,848,827)","0.0386%"
"102","洪都拉斯","美洲","2023","344.01亿 (34,400,509,852)","0.0326%"
"103","萨尔瓦多","美洲","2023","340.16亿 (34,015,620,000)","0.0323%"
"104","塞浦路斯","欧洲","2023","322.30亿 (32,229,622,669)","0.0306%"
"105","柬埔寨","亚洲","2023","317.73亿 (31,772,759,998)","0.0301%"
"106","冰岛","欧洲","2023","310.20亿 (31,020,032,583)","0.0294%"
"107","塞内加尔","非洲","2023","310.14亿 (31,013,986,429)","0.0294%"
"108","巴布亚新几内亚","大洋洲","2023","309.32亿 (30,932,496,249)","0.0293%"
"109","格鲁吉亚","亚洲","2023","305.36亿 (30,535,530,479)","0.0290%"
"110","赞比亚","非洲","2023","281.63亿 (28,162,630,953)","0.0267%"
"111","特立尼达和多巴哥","美洲","2023","281.40亿 (28,139,944,790)","0.0267%"
"112","波黑","欧洲","2023","270.55亿 (27,054,889,362)","0.0257%"
"113","津巴布韦","非洲","2023","265.38亿 (26,538,273,498)","0.0252%"
"114","亚美尼亚","亚洲","2023","242.12亿 (24,212,134,631)","0.0230%"
"115","几内亚","非洲","2023","236.12亿 (23,612,295,818)","0.0224%"
"116","阿尔巴尼亚","欧洲","2023","229.78亿 (22,977,677,860)","0.0218%"
"117","也门","亚洲","2021","210.62亿 (21,061,691,629)","&nbsp;"
"118","马耳他","欧洲","2023","209.57亿 (20,956,999,452)","0.0199%"
"119","马里","非洲","2023","209.05亿 (20,904,898,296)","0.0198%"
"
                                        
                                                
                                                
                                                
                                                (adsbygoogle = window.adsbygoogle || []).push({});
                                                
                                        
                                    "
"120","莫桑比克","非洲","2023","206.25亿 (20,624,597,846)","0.0196%"
"121","加蓬","非洲","2023","205.16亿 (20,516,134,388)","0.0195%"
"122","布基纳法索","非洲","2023","203.25亿 (20,324,617,838)","0.0193%"
"123","蒙古","亚洲","2023","198.72亿 (19,872,180,369)","0.0188%"
"124","海地","美洲","2023","198.51亿 (19,850,829,757)","0.0188%"
"125","贝宁","非洲","2023","196.73亿 (19,673,284,686)","0.0187%"
"126","牙买加","美洲","2023","194.23亿 (19,423,355,367)","0.0184%"
"127","博茨瓦纳","非洲","2023","193.96亿 (19,395,765,126)","0.0184%"
"128","黎巴嫩","亚洲","2023","179.37亿 (17,937,256,175)","0.0170%"
"129","尼加拉瓜","美洲","2023","178.29亿 (17,829,215,283)","0.0169%"
"130","巴勒斯坦","亚洲","2023","173.96亿 (17,396,300,000)","0.0165%"
"131","尼日尔","非洲","2023","168.19亿 (16,819,170,420)","0.0160%"
"132","圭亚那","美洲","2023","167.86亿 (16,786,302,158)","0.0159%"
"133","摩尔多瓦","欧洲","2023","165.39亿 (16,539,436,547)","0.0157%"
"134","马达加斯加","非洲","2023","160.32亿 (16,031,702,914)","0.0152%"
"135","老挝","亚洲","2023","158.43亿 (15,843,155,731)","0.0150%"
"136","刚果（布）","非洲","2023","153.21亿 (15,321,055,818)","0.0145%"
"137","文莱","亚洲","2023","151.28亿 (15,128,292,953)","0.0143%"
"138","马其顿","欧洲","2023","147.61亿 (14,761,237,042)","0.0140%"
"139","阿富汗","亚洲","2022","145.02亿 (14,502,158,192)","&nbsp;"
