年龄组,男,女
0岁,7461199,6325235
1~4岁,33601367,28144809
5~9岁,38464665,32416884
10~14岁,40267277,34641185
15~19岁,51904830,47984284
20~24岁,64008573,63403945
25~29岁,50837038,50176814
30~34岁,49521822,47616381
35~39岁,60391104,57634855
40~44岁,63608678,61145286
45~49岁,53776418,51818135
50~54岁,40363234,38389937
55~59岁,41082938,40229536
60~64岁,29834426,28832856
65~69岁,20748471,20364811
70~74岁,16403453,16568944
75~79岁,11278859,12573274
80~84岁,5917502,7455696
85~89岁,2199810,3432118
90~94岁,530872,1047435
95~99岁,117716,252263
100岁及以上,8852,27082
