股票类型,上市板块,总股本,每股收益,每股净资产,净资产收益率,每股资本公积金,每股现金流量
医药类,创业板,32062,1.82,11.21,8.11,2.98,3.42
地产类,中小板,53697,0.70,3.96,4.76,0.48,2.99
地产类,中小板,81757,0.94,7.85,6.32,2.19,3.05
医药类,创业板,27392,1.95,10.24,7.99,3.03,3.36
科技类,中小板,48395,0.90,11.52,7.59,4.65,3.56
医药类,主板,64159,0.62,7.83,7.305,2.98,3.33
科技类,创业板,52648,1.16,9.84,9.355,3.71,3.58
科技类,主板,45206,1.19,5.48,7.375,3.45,3.3
食品类,主板,89689,-0.01,10.28,2.995,4.44,3.57
地产类,主板,47224,1.3,10.6,7.955,2.94,3.5
地产类,创业板,58353,1.16,10.44,8.385,3.16,3.38
医药类,中小板,69635,0.32,6.43,5.14,1.09,3.13
科技类,创业板,42146,1.93,12.26,10.375,4.58,3.75
医药类,创业板,29207,1.4,8.34,8.045,2.62,3.38
食品类,创业板,85645,-0.01,7.73,4.77,2.62,3.37
科技类,主板,3779,2.81,10.99,8.845,3.44,3.39
科技类,中小板,67572,0.91,12.04,10.685,4.15,3.54
医药类,主板,50716,0.71,7.4,5.67,1.6,2.84
食品类,中小板,70257,0.12,11.39,8.77,3.66,3.7
医药类,主板,58645,1.35,11.28,9.55,3.64,3.5
地产类,主板,91816,-0.14,9.2,5.98,2.35,3.18
食品类,创业板,26001,2.15,9.79,9.135,4.13,3.71
科技类,中小板,81793,-0.16,10.5,8.92,4.02,3.47
医药类,中小板,89093,0.41,10.29,8.765,3.61,3.45
食品类,创业板,50099,1.15,12.86,11.52,4.69,3.63
食品类,创业板,966,2.91,15.62,7.225,5.72,4.1
医药类,创业板,59545,0.79,10.64,8.085,3.2,3.19
食品类,中小板,38069,1.8,13.17,8.57,2.99,3.56
科技类,创业板,65844,0.49,6.61,7.57,2.79,3.48
医药类,创业板,55793,1.62,11.93,8.2,3.88,3.72
医药类,创业板,64779,1.11,7.87,7.02,2.62,3.28
医药类,中小板,56379,0.33,7.99,8.075,3.73,3.6
科技类,创业板,71523,0.23,6.41,5.35,1.34,3.23
科技类,中小板,44317,1.31,13.27,6.735,5.5,3.89
地产类,创业板,34466,1.13,10.33,8.91,3.94,3.69
地产类,主板,38087,1.21,10.27,7.955,2.96,3.29
科技类,中小板,15480,2.11,11.34,11.365,5.47,3.54
食品类,主板,31948,1.88,12.19,9,3.46,3.62
地产类,主板,38819,1.53,11.04,9.1,3.89,3.69
医药类,中小板,45070,1.12,9.33,8.955,3.81,3.77
科技类,创业板,42328,1.36,6.52,5.95,2.47,3.16
食品类,主板,10818,3.31,14.05,8.97,3.98,3.33
医药类,中小板,33166,2.05,8.96,6.355,2.42,3.11
医药类,创业板,88071,0.03,8.65,6.83,1.82,3.14
科技类,创业板,62450,0.95,10.39,8.25,3.4,3.3
科技类,创业板,89818,-0.36,7.01,5.98,2.65,3.2
科技类,中小板,43890,1.37,9.31,6.895,2.39,3.15
食品类,中小板,48183,1.28,12.69,10.485,4.6,3.61
地产类,主板,46317,1.11,6.18,5.265,0.76,3.1
科技类,中小板,26025,1.8,12.61,9.46,3.88,3.6
医药类,创业板,33234,1.84,10.46,10.09,4.02,3.47
医药类,主板,91326,-0.37,7.31,6.12,3.4,3.42
地产类,主板,38755,1.45,10.39,9.16,4.04,3.41
科技类,主板,75514,0.19,6.42,5.305,1.26,2.78
食品类,创业板,29049,2.08,15.32,10.69,6.4,3.82
科技类,主板,10682,2.59,12.64,10.21,4.3,3.5
科技类,主板,43541,1.26,9.51,7.845,3.65,3.44
科技类,主板,68717,0.42,12.99,9.19,3.68,3.36
地产类,主板,72785,0.67,10.68,7.82,2.59,3.3
地产类,中小板,83432,-0.03,8.35,2.53,2.43,3.1
科技类,创业板,14235,2.73,13.39,9.65,4.36,3.37
科技类,主板,90625,-0.25,7.73,5.61,3.65,3.46
地产类,中小板,35937,1.51,10.51,10.53,4.88,3.92
食品类,中小板,53163,0.45,7.55,6.07,2.4,3.15
科技类,创业板,60125,0.6,11.08,10.305,4.19,3.52
食品类,创业板,33600,1.26,11.51,8.81,4.08,3.72
食品类,主板,10023,3.05,14.99,12.17,5.46,3.98
食品类,创业板,40414,1.59,11.04,8.52,3.09,3.43
医药类,创业板,51684,1.24,13.08,8.68,3.51,3.47
医药类,中小板,32090,1.72,8.72,8.98,3.23,3.52
食品类,创业板,31574,0.93,12.97,8.75,3.34,3.56
食品类,创业板,56609,0.9,12.7,10.475,4.88,3.76
医药类,创业板,47167,1.23,12.32,9.235,3.82,3.68
医药类,主板,58697,0.48,6.35,8.625,3.6,3.59
医药类,创业板,48926,1.24,11.03,9.105,3.64,3.35
科技类,中小板,31858,2.22,10.84,8.23,3.23,3.44
食品类,创业板,76070,0.25,7.75,6.43,2.27,3.4
科技类,主板,65436,0.93,8.65,7.78,2.86,3.34
食品类,主板,71051,0.31,3.77,4.29,0.66,3.12
地产类,主板,21799,2.09,11.15,7.46,2.94,3.23
食品类,主板,69920,1.08,8.02,5.7,1.9,3.33
地产类,创业板,16085,2.46,13.19,10.655,5.2,4.18
医药类,中小板,39333,1.87,9.95,8.625,3.71,3.7
食品类,创业板,22555,1.86,11.56,8.845,3.63,3.65
医药类,主板,5842,3.01,17.21,12.23,5.22,3.82
科技类,创业板,86442,0.42,6.43,6.775,2.53,3.03
科技类,中小板,36932,1.92,8.52,7.14,2.39,3.12
食品类,中小板,44306,1.32,10.78,8.675,3.68,3.3
地产类,创业板,42261,1.78,9.66,7.885,3.66,3.34
食品类,中小板,57734,0.85,7.8,6.935,2.2,3.23
科技类,主板,82008,-0.27,9.2,3.165,3.2,3.38
食品类,主板,83623,0.19,8.7,6.885,2.46,3.17
食品类,创业板,26328,1.95,14.49,12.185,5.29,3.66
地产类,中小板,22831,1.97,9.77,7.91,2.82,3.24
食品类,创业板,19747,2.59,13.97,11.025,5.04,3.95
医药类,中小板,24938,1.86,11.67,9.55,3.88,3.36
食品类,主板,89187,-0.05,5.39,2.97,1.38,2.84
医药类,主板,50153,0.5,7.13,6.34,2.35,3.08
医药类,主板,33148,1.28,10.17,9.335,3.99,3.51
食品类,中小板,37977,1.33,10.94,9.7,4.08,3.67
医药类,创业板,71489,0.32,7.72,8.37,3.39,3.49
食品类,中小板,55212,0.86,10.96,9.31,4.22,3.43
科技类,中小板,43715,1.61,9.78,8.055,3.14,3.19
