地区,区域划分,三大地带,食品烟酒,衣着,居住,生活用品及服务,交通通信,教育文化娱乐,医疗保健,其他用品及服务
北京,华北,东部地带,7548.9,2238.3,12295.0,2492.4,5034.0,3916.7,2899.7,1000.4
天津,华北,东部地带,8647.0,1944.8,5922.4,1655.5,3744.5,2691.5,2390.0,845.6
河北,华北,东部地带,3912.8,1173.5,3679.4,1066.2,2290.3,1578.3,1396.3,340.1
山西,华北,中部地带,3324.8,1206.0,2933.5,761.0,1884.0,1879.3,1359.7,316.1
内蒙古,华北,西部地带,5205.3,1866.2,3324.0,1199.9,2914.9,2227.8,1653.8,553.8
辽宁,东北,东部地带,5605.4,1671.6,3732.5,1191.7,3088.4,2534.5,1999.9,639.3
吉林,东北,中部地带,4144.1,1379.0,2912.3,795.8,2218.0,1928.5,1818.3,435.9
黑龙江,东北,中部地带,4209.0,1437.7,2833.0,776.4,2185.5,1898.0,1791.3,446.6
上海,华东,东部地带,10005.9,1733.4,13708.7,1824.9,4057.7,4685.9,2602.1,1173.3
江苏,华东,东部地带,6524.8,1505.9,5586.2,1443.5,3496.4,2747.6,1510.9,653.3
浙江,华东,东部地带,7750.8,1585.9,6992.9,1345.8,4306.5,2844.9,1696.1,556.1
安徽,华东,中部地带,5143.4,1037.5,3397.6,890.8,2102.3,1700.5,1135.9,343.8
福建,华东,东部地带,7212.7,1119.1,5533.0,1179.0,2642.8,1966.4,1105.3,491.0
江西,华东,中部地带,4626.1,1005.8,3552.2,859.9,1600.7,1606.8,877.8,329.7
山东,华东,东部地带,4715.1,1374.6,3565.8,1260.5,2568.3,1948.4,1484.3,363.6
河南,中南,中部地带,3687.0,1184.5,2988.3,1056.4,1698.6,1559.8,1219.8,335.2
湖北,中南,中部地带,5098.4,1131.7,3699.0,1025.9,1795.7,1930.4,1838.3,418.2
湖南,中南,中部地带,5003.6,1086.1,3428.9,1054.0,2042.6,2805.1,1424.0,316.1
广东,中南,东部地带,8317.0,1230.3,5790.9,1447.4,3380.0,2620.4,1319.5,714.1
广西,中南,西部地带,4409.9,564.7,2909.3,762.8,1878.5,1585.8,1075.6,237.1
海南,中南,东部地带,5935.9,631.1,2925.6,769.0,1995.0,1756.8,1101.2,288.1
重庆,西南,西部地带,5943.5,1394.8,3140.9,1245.5,2310.3,1993.0,1471.9,398.1
四川,西南,西部地带,5632.2,1152.7,2946.8,1062.9,2200.0,1468.2,1320.2,396.8
贵州,西南,西部地带,3954.0,863.4,2670.3,802.4,1781.6,1783.3,851.2,263.5
云南,西南,西部地带,3838.4,651.3,2471.1,742.0,2033.4,1573.7,1125.3,223.0
西藏,西南,西部地带,4788.6,1047.6,1763.2,617.2,1176.9,441.6,271.5,213.5
陕西,西北,西部地带,4124.0,1084.0,2978.6,1036.2,1760.7,1857.6,1704.8,353.7
甘肃,西北,西部地带,3886.9,1071.3,2475.1,836.8,1796.5,1537.1,1233.4,282.8
青海,西北,西部地带,4453.0,1265.9,2754.5,929.0,2409.6,1686.6,1598.7,405.8
宁夏,西北,西部地带,3796.4,1268.9,2861.5,932.4,2616.8,1955.6,1553.6,365.1
新疆,西北,西部地带,4338.5,1305.5,2698.5,943.2,2382.6,1599.3,1466.3,353.4
