»’∆⁄,AQI,÷ ¡øµ»º∂,PM2.5,PM10,∂˛—ıªØ¡Ú,“ª—ıªØÃº,∂˛—ıªØµ™,≥Ù—ı≈®∂»
2016/1/1,226,÷ÿ∂»Œ€»æ,176,199,33,3.4,106,12
2016/1/2,316,—œ÷ÿŒ€»æ,266,299,35,4.6,124,16
2016/1/3,297,÷ÿ∂»Œ€»æ,247,296,20,3.5,83,22
2016/1/4,53,¡º,37,23,6,0.9,33,59
2016/1/5,63,¡º,34,76,11,0.9,38,50
2016/1/6,44,”≈,25,40,10,0.9,35,54
2016/1/7,35,”≈,13,22,6,0.6,28,54
2016/1/8,54,¡º,35,55,13,0.9,43,51
2016/1/9,102,«·∂»Œ€»æ,76,102,23,1.9,74,26
2016/1/10,69,¡º,46,61,20,1.5,55,35
2016/1/11,32,”≈,11,22,6,0.6,25,59
2016/1/12,38,”≈,14,27,8,0.7,30,55
2016/1/13,62,¡º,26,48,14,1,49,47
2016/1/14,98,¡º,73,98,27,1.9,73,40
2016/1/15,132,«·∂»Œ€»æ,100,127,33,2.6,84,25
2016/1/16,162,÷–∂»Œ€»æ,123,137,44,2.5,71,15
2016/1/17,53,¡º,37,25,9,0.8,29,68
2016/1/18,45,”≈,10,45,4,0.5,18,62
2016/1/19,84,¡º,62,90,23,1.7,62,39
2016/1/20,153,÷–∂»Œ€»æ,117,141,56,3.4,78,11
2016/1/21,173,÷–∂»Œ€»æ,131,130,28,2.7,68,12
2016/1/22,33,”≈,13,33,4,0.6,16,65
2016/1/23,47,”≈,9,47,4,0.6,12,63
2016/1/24,47,”≈,13,47,6,0.6,24,60
2016/1/25,54,¡º,28,48,17,0.8,43,50
2016/1/26,56,¡º,35,62,18,0.8,37,58
2016/1/27,129,«·∂»Œ€»æ,98,112,38,2.2,79,27
2016/1/28,159,÷–∂»Œ€»æ,121,139,44,2.3,80,37
2016/1/29,84,¡º,62,80,36,1.8,55,28
2016/1/30,69,¡º,50,65,21,1.3,48,40
2016/1/31,38,”≈,18,26,10,0.6,30,66
2016/2/1,40,”≈,13,24,9,0.6,32,68
2016/2/2,62,¡º,29,40,16,0.9,49,55
2016/2/3,69,¡º,35,48,19,1.2,55,43
2016/2/4,36,”≈,13,24,8,0.5,23,71
2016/2/5,38,”≈,10,32,6,0.4,16,76
2016/2/6,45,”≈,31,45,14,0.8,36,70
2016/2/7,69,¡º,50,85,23,0.9,38,74
2016/2/8,238,÷ÿ∂»Œ€»æ,188,263,53,1,37,74
2016/2/9,60,¡º,43,53,20,1.1,41,82
2016/2/10,128,«·∂»Œ€»æ,97,115,50,2.5,65,50
2016/2/11,202,÷ÿ∂»Œ€»æ,152,168,42,3,68,26
2016/2/12,192,÷–∂»Œ€»æ,144,100,18,2.2,54,41
2016/2/13,34,”≈,9,14,5,0.3,12,68
2016/2/14,36,”≈,7,16,3,0.4,11,72
2016/2/15,46,”≈,7,46,4,0.3,14,71
2016/2/16,38,”≈,8,36,5,0.3,18,76
2016/2/17,64,¡º,46,44,16,1.1,48,73
2016/2/18,42,”≈,14,32,5,0.4,22,83
2016/2/19,40,”≈,15,33,5,0.5,26,79
2016/2/20,40,”≈,16,24,6,0.5,22,79
2016/2/21,108,«·∂»Œ€»æ,81,107,26,1.5,57,55
2016/2/22,92,¡º,68,74,16,1.1,40,80
2016/2/23,41,”≈,11,18,5,0.4,17,81
2016/2/24,49,”≈,26,49,9,0.7,35,70
2016/2/25,45,”≈,25,44,10,0.7,36,61
2016/2/26,55,¡º,36,60,14,0.8,40,69
2016/2/27,45,”≈,22,35,9,0.6,36,71
2016/2/28,48,”≈,31,48,7,0.8,33,79
2016/2/29,53,¡º,35,47,12,0.7,42,70
2016/3/1,158,÷–∂»Œ€»æ,120,136,30,1.9,85,50
2016/3/2,212,÷ÿ∂»Œ€»æ,162,190,32,2.5,110,62
2016/3/3,333,—œ÷ÿŒ€»æ,283,283,46,3.5,119,50
2016/3/4,365,—œ÷ÿŒ€»æ,315,414,47,4.3,113,22
2016/3/5,170,÷–∂»Œ€»æ,58,290,3,0.4,23,78
2016/3/6,116,«·∂»Œ€»æ,73,182,28,1.6,68,41
2016/3/7,70,¡º,34,89,10,0.9,33,84
2016/3/8,39,”≈,10,25,3,0.4,16,77
2016/3/9,37,”≈,10,26,4,0.4,16,73
2016/3/10,49,”≈,11,49,4,0.4,18,75
2016/3/11,51,¡º,24,52,8,0.6,36,76
2016/3/12,144,«·∂»Œ€»æ,110,138,40,1.8,82,44
2016/3/13,48,”≈,30,48,9,0.6,32,92
2016/3/14,103,«·∂»Œ€»æ,77,118,21,1.3,64,72
2016/3/15,190,÷–∂»Œ€»æ,143,198,47,1.6,79,56
2016/3/16,300,÷ÿ∂»Œ€»æ,250,261,38,2.2,89,120
2016/3/17,338,—œ÷ÿŒ€»æ,288,298,31,2.3,103,106
2016/3/18,227,÷ÿ∂»Œ€»æ,177,55,12,1.4,64,112
2016/3/19,88,¡º,65,113,17,1,44,76
2016/3/20,89,¡º,66,113,10,1,62,86
2016/3/21,163,÷–∂»Œ€»æ,124,179,21,1.2,80,116
2016/3/22,138,«·∂»Œ€»æ,105,207,25,1.4,75,68
2016/3/23,43,”≈,16,37,4,0.5,26,85
2016/3/24,44,”≈,13,24,3,0.4,31,87
2016/3/25,48,”≈,17,38,4,0.5,38,89
2016/3/26,45,”≈,12,29,4,0.4,27,90
2016/3/27,47,”≈,17,47,4,0.4,35,92
2016/3/28,123,«·∂»Œ€»æ,70,195,16,0.8,66,77
2016/3/29,62,¡º,19,74,5,0.4,33,96
2016/3/30,63,¡º,30,76,9,0.6,42,93
2016/3/31,199,÷–∂»Œ€»æ,149,239,33,1.4,73,118
2016/4/1,93,¡º,35,135,6,0.4,26,95
2016/4/2,43,”≈,9,28,3,0.2,16,86
2016/4/3,52,¡º,20,54,3,0.3,26,93
2016/4/4,103,«·∂»Œ€»æ,77,114,12,0.6,48,121
2016/4/5,148,«·∂»Œ€»æ,113,146,19,1,52,142
2016/4/6,192,÷–∂»Œ€»æ,144,182,30,2,71,96
2016/4/7,108,«·∂»Œ€»æ,81,112,4,1,43,90
2016/4/8,71,¡º,25,92,5,0.4,32,97
2016/4/9,148,«·∂»Œ€»æ,73,245,11,0.7,55,95
2016/4/10,121,«·∂»Œ€»æ,54,192,13,0.8,43,95
2016/4/11,77,¡º,41,103,9,0.6,42,89
2016/4/12,105,«·∂»Œ€»æ,79,104,6,0.8,58,76
