时间,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年
1月,12718.1,15249,17479.9,19629.9,21951.1,24916.5,27504.2,30129.1
2月,12334.2,13769.1,16188.7,18179.9,20329.6,23076,25406.1,27830.6
3月,11321.7,13588,15650.2,17641.2,19800.6,22722.8,25114.1,27863.7
4月,11510.4,13649,15603.1,17600.3,19701.2,22386.7,24645.8,27278.5
5月,12455.1,14696.8,16714.8,18886.3,21249.8,24194.8,26610.7,29459.2
6月,12329.9,14565.1,16584.9,18826.7,21166.4,24280.3,26857.4,29807.6
7月,12252.8,14408,16314.9,18513.2,20775.8,24338.8,26827.4,29609.8
8月,12569.8,14705,16658.9,18886.2,21133.9,24893.4,27539.6,30329.7
9月,13536.5,15865.1,18226.6,20653.3,23042.4,25270.6,27976.4,30870.3
10月,14284.8,16546.4,18933.8,21491.3,23967.2,28278.9,31119.2,34240.9
11月,13910.9,16128.9,18476.7,21011.9,23474.7,27937.3,30958.5,34108.2
12月,15329.5,17739.7,20334.2,23059.7,25801.3,28635,31757,34734.1
