»’∆⁄,AQI,÷ ¡øµ»º∂,PM2.5,∂˛—ıªØµ™,PM10,∂˛—ıªØ¡Ú,“ª—ıªØÃº,≥Ù—ı≈®∂»
2018/1/1,60,¡º,33,48,61,10,1.1,41
2018/1/2,49,”≈,27,35,49,7,0.9,50
2018/1/3,29,”≈,11,23,28,5,0.4,55
2018/1/4,44,”≈,15,35,29,5,0.5,42
2018/1/5,69,¡º,32,55,53,9,1,39
2018/1/6,52,¡º,16,41,29,6,0.6,53
2018/1/7,59,¡º,38,47,57,11,0.9,55
2018/1/8,55,¡º,12,12,60,4,0.3,66
2018/1/9,35,”≈,7,14,34,3,0.3,69
2018/1/10,35,”≈,6,10,20,3,0.3,69
2018/1/11,34,”≈,12,27,23,5,0.5,60
2018/1/12,94,¡º,59,75,79,12,1.4,23
2018/1/13,137,«·∂»Œ€»æ,104,86,120,16,1.8,18
2018/1/14,175,÷–∂»Œ€»æ,132,77,137,14,1.8,45
2018/1/15,64,¡º,32,51,57,9,1,46
2018/1/16,114,«·∂»Œ€»æ,45,46,178,6,0.8,60
2018/1/17,77,¡º,41,53,103,9,1.1,67
2018/1/18,101,«·∂»Œ€»æ,62,81,104,12,1.3,21
2018/1/19,107,«·∂»Œ€»æ,80,80,121,15,1.6,40
2018/1/20,65,¡º,31,52,75,9,0.9,35
2018/1/21,63,¡º,36,48,76,21,1.3,32
2018/1/22,46,”≈,22,28,46,5,0.7,71
2018/1/23,33,”≈,11,17,30,4,0.5,66
2018/1/24,39,”≈,17,31,31,6,0.5,71
2018/1/25,37,”≈,9,29,22,4,0.4,68
2018/1/26,58,¡º,27,46,39,8,0.7,45
2018/1/27,108,«·∂»Œ€»æ,81,74,92,15,1.5,16
2018/1/28,58,¡º,11,16,65,3,0.4,72
2018/1/29,55,¡º,8,21,60,4,0.4,73
2018/1/30,37,”≈,11,26,36,6,0.4,74
2018/1/31,62,¡º,22,32,73,7,0.5,71
2018/2/1,67,¡º,30,39,84,11,0.8,70
2018/2/2,37,”≈,8,12,29,5,0.4,74
2018/2/3,35,”≈,8,22,20,5,0.4,70
2018/2/4,44,”≈,19,35,35,9,0.6,60
2018/2/5,37,”≈,7,16,18,3,0.3,73
2018/2/6,70,¡º,46,56,60,14,0.9,47
2018/2/7,51,¡º,32,34,51,9,0.7,83
2018/2/8,73,¡º,52,58,75,12,1,53
2018/2/9,79,¡º,40,35,108,9,0.8,81
2018/2/10,43,”≈,10,13,43,3,0.4,81
2018/2/11,66,¡º,9,7,82,2,0.3,80
2018/2/12,53,¡º,12,16,55,4,0.4,80
2018/2/13,80,¡º,59,62,80,14,1.2,55
2018/2/14,41,”≈,13,19,33,4,0.4,81
2018/2/15,73,¡º,53,24,66,11,0.6,87
2018/2/16,105,«·∂»Œ€»æ,79,26,100,15,0.6,93
2018/2/17,108,«·∂»Œ€»æ,81,38,91,11,1.4,53
2018/2/18,152,÷–∂»Œ€»æ,116,50,109,16,1.9,88
2018/2/19,188,÷–∂»Œ€»æ,141,46,131,26,2.2,76
2018/2/20,63,¡º,45,23,42,7,0.7,93
2018/2/21,48,”≈,33,28,43,7,0.6,88
2018/2/22,46,”≈,18,31,46,6,0.5,84
2018/2/23,53,¡º,23,32,55,6,0.6,86
2018/2/24,62,¡º,29,23,73,11,0.7,71
2018/2/25,82,¡º,60,47,71,11,0.9,72
2018/2/26,163,÷–∂»Œ€»æ,124,75,122,22,1.7,94
2018/2/27,219,÷ÿ∂»Œ€»æ,169,56,171,13,2,72
2018/2/28,117,«·∂»Œ€»æ,88,37,118,10,1.1,80
2018/3/1,50,”≈,17,18,50,4,0.4,87
2018/3/2,105,«·∂»Œ€»æ,79,56,105,19,1.1,71
2018/3/3,221,÷ÿ∂»Œ€»æ,171,79,196,19,2,57
2018/3/4,126,«·∂»Œ€»æ,58,38,202,7,0.9,51
2018/3/5,90,¡º,48,45,129,9,0.9,71
2018/3/6,63,¡º,45,41,64,11,0.9,69
2018/3/7,64,¡º,46,51,63,9,0.8,48
2018/3/8,61,¡º,43,37,72,6,0.7,76
2018/3/9,137,«·∂»Œ€»æ,104,72,107,13,1.3,79
2018/3/10,156,÷–∂»Œ€»æ,119,63,128,16,1.5,110
2018/3/11,85,¡º,63,50,69,18,1.4,65
2018/3/12,195,÷–∂»Œ€»æ,146,75,141,11,1.7,91
2018/3/13,294,÷ÿ∂»Œ€»æ,244,100,198,11,2.1,151
2018/3/14,287,÷ÿ∂»Œ€»æ,237,79,185,17,2.6,86
2018/3/15,62,¡º,20,18,74,3,0.4,95
2018/3/16,55,¡º,33,31,60,8,0.6,95
2018/3/17,83,¡º,61,62,60,5,0.9,29
2018/3/18,138,«·∂»Œ€»æ,105,56,73,3,1,88
2018/3/19,94,¡º,70,47,60,4,0.8,97
2018/3/20,44,”≈,23,35,39,4,0.5,87
2018/3/21,80,¡º,59,56,83,9,0.9,75
2018/3/22,115,«·∂»Œ€»æ,87,66,104,8,1,96
2018/3/23,144,«·∂»Œ€»æ,110,90,132,12,1.4,64
2018/3/24,120,«·∂»Œ€»æ,91,63,102,10,1.2,118
2018/3/25,78,¡º,57,59,95,7,0.7,128
2018/3/26,162,÷–∂»Œ€»æ,123,76,142,13,1.1,141
2018/3/27,247,÷ÿ∂»Œ€»æ,197,103,196,12,1.4,119
2018/3/28,179,÷–∂»Œ€»æ,118,52,184,6,0.9,75
2018/3/29,112,«·∂»Œ€»æ,39,46,173,13,0.8,88
2018/3/30,69,¡º,41,55,85,8,0.6,104
2018/3/31,137,«·∂»Œ€»æ,104,85,155,13,1.1,120
2018/4/1,226,÷ÿ∂»Œ€»æ,176,81,213,15,1.5,202
2018/4/2,273,÷ÿ∂»Œ€»æ,223,69,243,10,1.8,155
2018/4/3,71,¡º,12,17,91,2,0.3,87
2018/4/4,43,”≈,22,34,20,2,0.4,64
2018/4/5,74,¡º,51,28,97,2,0.6,46
2018/4/6,60,¡º,14,9,70,2,0.3,91
2018/4/7,49,”≈,18,24,49,5,0.3,98
2018/4/8,69,¡º,40,49,87,6,0.6,90
2018/4/9,115,«·∂»Œ€»æ,87,64,126,22,1.4,115
2018/4/10,84,¡º,51,40,118,8,0.8,90
2018/4/11,56,¡º,19,38,62,5,0.3,106
2018/4/12,80,¡º,31,40,109,9,0.6,103
2018/4/13,69,¡º,39,55,59,9,1.2,51
2018/4/14,118,«·∂»Œ€»æ,28,13,185,2,0.3,101
2018/4/15,66,¡º,24,31,81,4,0.4,111
2018/4/16,106,«·∂»Œ€»æ,72,50,162,10,0.7,157
2018/4/17,133,«·∂»Œ€»æ,96,43,216,10,0.9,158
2018/4/18,144,«·∂»Œ€»æ,110,49,214,8,0.9,174
2018/4/19,160,÷–∂»Œ€»æ,122,51,194,10,1,204
2018/4/20,165,÷–∂»Œ€»æ,125,44,158,12,1.4,223
2018/4/21,92,¡º,68,34,72,3,1,78
2018/4/22,39,”≈,10,21,19,2,0.4,77
2018/4/23,55,¡º,17,29,31,2,0.4,106
