词,词频
可视化,1500
R语言,1100
分析,855
数据,846
函数,773
颜色,750
代码,650
统计,547
绘制,543
分布,497
条件图,430
描述,428
推断,426
图形,411
数据框,401
随机数,385
频数,373
列联表,366
类别数据,359
条形图,359
聚类图,350
饼图,341
扇形图,314
环形图,306
类别化,280
变量,277
直方图,255
茎叶图,254
箱线图,239
小提琴图,238
点图,232
核密度图,228
散点图,226
气泡图,222
条件图,220
轮廓图,217
雷达图,214
星图,213
脸谱图,213
气泡图,210
点图,209
大数据,209
矩阵,208
相关系数,200
树状图,199
森林图,196
热图,193
平均数,189
中位数,187
时间序列,187
线性回归,180
模型,180
拟合图,179
方差,178
方差分析,178
概率分布,177
概率,176
正态分布,174
图形组合,171
词云图,171
