"","性别","专业","在读学位","网购金额"
"1","女","会计学","学士",382
"2","女","金融学","硕士",171
"3","男","会计学","博士",579
"4","男","管理学","学士",211
"5","女","会计学","学士",654
"6","男","金融学","学士",290
"7","女","管理学","硕士",108
"8","女","会计学","硕士",724
"9","男","金融学","学士",569
"10","女","会计学","博士",424
"11","男","金融学","博士",317
"12","女","金融学","学士",294
"13","女","管理学","博士",375
"14","女","会计学","硕士",264
"15","女","会计学","硕士",573
"16","男","金融学","学士",521
"17","女","会计学","学士",469
"18","女","管理学","学士",422
"19","男","管理学","博士",573
"20","女","金融学","学士",570
"21","男","管理学","学士",556
"22","女","金融学","硕士",520
"23","男","管理学","博士",518
"24","女","金融学","硕士",780
"25","女","金融学","硕士",552
"26","女","管理学","硕士",495
"27","男","金融学","博士",304
"28","女","会计学","学士",700
"29","男","金融学","硕士",316
"30","女","会计学","博士",281
"31","女","会计学","硕士",730
"32","男","金融学","学士",204
"33","女","会计学","硕士",454
"34","女","会计学","博士",546
"35","女","会计学","学士",511
"36","男","会计学","博士",158
"37","男","管理学","学士",675
"38","男","管理学","学士",481
"39","男","管理学","博士",362
"40","男","会计学","学士",112
"41","女","金融学","硕士",708
"42","男","管理学","学士",494
"43","女","管理学","博士",209
"44","男","金融学","学士",128
"45","男","金融学","硕士",638
"46","男","管理学","学士",705
"47","男","管理学","博士",696
"48","男","会计学","硕士",266
"49","男","管理学","博士",579
"50","男","管理学","博士",446
"51","女","金融学","博士",729
"52","男","会计学","学士",608
"53","男","会计学","学士",224
"54","女","金融学","博士",286
"55","男","会计学","学士",434
"56","男","金融学","博士",565
"57","男","会计学","博士",534
"58","男","会计学","硕士",559
"59","女","金融学","硕士",586
"60","女","会计学","学士",383
"61","男","金融学","硕士",410
"62","男","金融学","硕士",542
"63","男","管理学","硕士",404
"64","女","会计学","博士",318
"65","女","会计学","硕士",397
"66","男","金融学","学士",490
"67","女","会计学","硕士",434
"68","男","管理学","硕士",419
"69","男","管理学","学士",408
"70","女","金融学","硕士",582
"71","男","管理学","硕士",111
"72","女","金融学","博士",648
"73","男","管理学","学士",762
"74","女","金融学","博士",309
"75","女","金融学","博士",128
"76","女","管理学","博士",371
"77","女","金融学","博士",338
"78","女","金融学","博士",287
"79","男","金融学","博士",285
"80","女","会计学","硕士",487
"81","女","会计学","学士",491
"82","男","金融学","硕士",519
"83","女","会计学","学士",442
"84","女","会计学","学士",825
"85","女","会计学","学士",802
"86","男","会计学","硕士",449
"87","女","管理学","硕士",516
"88","女","管理学","学士",752
"89","男","管理学","学士",347
"90","女","会计学","硕士",599
"91","女","会计学","博士",274
"92","女","管理学","硕士",637
"93","女","管理学","学士",501
"94","男","金融学","硕士",126
"95","男","金融学","硕士",649
"96","男","管理学","学士",217
"97","女","管理学","博士",645
"98","女","会计学","学士",525
"99","女","会计学","硕士",233
"100","男","会计学","硕士",776
"101","男","会计学","博士",244
"102","男","金融学","硕士",652
"103","女","会计学","博士",484
"104","男","金融学","博士",586
"105","女","金融学","硕士",431
"106","女","管理学","硕士",451
"107","女","会计学","博士",308
"108","女","会计学","硕士",356
"109","男","金融学","硕士",527
"110","女","会计学","硕士",401
"111","女","管理学","硕士",285
"112","男","管理学","学士",355
"113","女","金融学","学士",477
"114","女","管理学","博士",449
"115","女","金融学","硕士",885
"116","男","管理学","博士",396
"117","女","金融学","博士",398
"118","女","金融学","学士",360
"119","女","管理学","硕士",575
"120","男","金融学","硕士",717
